n;label;image;text;train
10;001.Black_footed_Albatross;CUB/images/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg;CUB/text/001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.txt;0
10;003.Sooty_Albatross;CUB/images/003.Sooty_Albatross/Sooty_Albatross_0010_796355.jpg;CUB/text/003.Sooty_Albatross/Sooty_Albatross_0010_796355.txt;0
10;004.Groove_billed_Ani;CUB/images/004.Groove_billed_Ani/Groove_Billed_Ani_0010_1704.jpg;CUB/text/004.Groove_billed_Ani/Groove_Billed_Ani_0010_1704.txt;0
10;005.Crested_Auklet;CUB/images/005.Crested_Auklet/Crested_Auklet_0010_794907.jpg;CUB/text/005.Crested_Auklet/Crested_Auklet_0010_794907.txt;0
10;006.Least_Auklet;CUB/images/006.Least_Auklet/Least_Auklet_0010_795092.jpg;CUB/text/006.Least_Auklet/Least_Auklet_0010_795092.txt;0
10;007.Parakeet_Auklet;CUB/images/007.Parakeet_Auklet/Parakeet_Auklet_0010_795995.jpg;CUB/text/007.Parakeet_Auklet/Parakeet_Auklet_0010_795995.txt;0
10;008.Rhinoceros_Auklet;CUB/images/008.Rhinoceros_Auklet/Rhinoceros_Auklet_0010_797545.jpg;CUB/text/008.Rhinoceros_Auklet/Rhinoceros_Auklet_0010_797545.txt;0
10;009.Brewer_Blackbird;CUB/images/009.Brewer_Blackbird/Brewer_Blackbird_0010_2269.jpg;CUB/text/009.Brewer_Blackbird/Brewer_Blackbird_0010_2269.txt;0
10;010.Red_winged_Blackbird;CUB/images/010.Red_winged_Blackbird/Red_Winged_Blackbird_0010_6386.jpg;CUB/text/010.Red_winged_Blackbird/Red_Winged_Blackbird_0010_6386.txt;0
10;014.Indigo_Bunting;CUB/images/014.Indigo_Bunting/Indigo_Bunting_0010_13000.jpg;CUB/text/014.Indigo_Bunting/Indigo_Bunting_0010_13000.txt;0
10;015.Lazuli_Bunting;CUB/images/015.Lazuli_Bunting/Lazuli_Bunting_0010_14915.jpg;CUB/text/015.Lazuli_Bunting/Lazuli_Bunting_0010_14915.txt;0
